C;1;1;0.71448113
O;2;2;-0.54367889
C;3;1;-0.52538646
H;4;4;0.14428656
H;5;4;0.14428656
H;6;4;0.14428656
N;7;7;-0.5099812
H;8;4;0.29640409
C;9;1;-0.31262182
H;10;4;0.15025137
C;11;1;0.49505806
C;12;1;0.74406508
H;13;4;-0.05353592
C;14;1;-0.48330768
C;15;1;-0.48330768
O;16;2;-0.53901997
H;17;4;0.11599928
H;18;4;0.11599928
H;19;4;0.11599928
H;20;4;0.11599928
H;21;4;0.11599928
H;22;4;0.11599928
N;23;7;-0.56445891
H;24;4;0.31169975
C;25;1;-0.06087275
H;26;4;0.07806538
H;27;4;0.07374583
H;28;4;0.08354523
